3119,202205231100,3187,3188,km,3250,19507,1,r,1,781,1653278400
3120,202205231100,3191,3205,km,3273,19557,1,r,1,809,1653278400
3119,202205231100,3191,3192,km,3273,19813,1,r,1,809,1653278400
3120,202205231100,3191,3205,km,3273,19816,1,r,1,809,1653278400
3120,202205231100,3191,3205,km,3273,19792,1,r,1,809,1653278400
3120,202205231100,3191,3205,km,3250,19506,1,r,1,571,1653278400
3120,202205231100,3191,3205,km,3250,19505,1,r,1,1164,1653278400
3119,202205231100,3191,3192,km,3273,19337,1,r,1,857,1653278400
3120,202205231100,3191,3205,km,3273,19557,1,r,1,809,1653278400
3119,202205231100,3191,3192,km,3273,19815,1,r,1,809,1653278400
3119,202205231100,3191,3192,km,3273,19557,1,r,1,809,1653278400
3120,202205231100,3191,3205,km,3273,19557,1,r,1,1243,1653278400
3120,202205231100,3191,3205,km,3273,19557,1,r,1,857,1653278400
3119,202205231100,3187,3188,km,3250,19507,1,r,1,781,1653278400
3120,202205231100,3191,3205,km,3273,19798,1,r,1,809,1653278401
3119,202205231100,3191,3192,km,3273,19807,1,r,1,809,1653278401
3120,202205231100,3191,3205,km,3273,19337,1,r,1,809,1653278401
3119,202205231100,3191,3192,km,3273,19566,1,r,1,857,1653278401
3119,202205231100,3191,3192,km,3273,19566,1,r,1,1243,1653278401
3120,202205231100,3191,3205,km,3273,19810,1,r,1,809,1653278401
3120,202205231100,3191,3205,km,3273,19798,1,r,1,1243,1653278401
3120,202205231100,3191,3205,km,3273,19798,1,r,1,857,1653278401
3120,202205231100,3191,3205,km,3273,19337,1,r,1,857,1653278401
3120,202205231100,3191,3205,km,3273,19807,1,r,1,809,1653278401
3120,202205231100,3191,3205,km,3273,19794,1,r,1,809,1653278401
3120,202205231100,3191,3205,km,3273,19557,1,r,1,1243,1653278402
3120,202205231100,3191,3205,km,3273,19557,1,r,1,857,1653278402
3120,202205231100,3191,3205,km,3258,19571,1,r,1,809,1653278402
3119,202205231100,3191,3192,km,3273,19821,1,r,1,809,1653278402
3119,202205231100,3191,3192,km,3258,19520,1,r,1,809,1653278402
3119,202205231100,3191,3192,km,3273,19807,1,r,1,809,1653278402
3120,202205231100,3191,3205,km,3273,19798,1,r,1,1243,1653278402
3120,202205231100,3191,3205,km,3273,19546,1,r,1,857,1653278402
3120,202205231100,3191,3205,km,3273,19798,1,r,1,857,1653278402
3120,202205231100,3191,3205,km,3273,19818,1,r,1,809,1653278402
3120,202205231100,3191,3205,km,3273,19546,1,r,1,1243,1653278402
3119,202205231100,3191,3192,km,3244,19294,0,r,1,236,1653278402
3119,202205231100,3187,3188,km,3250,19507,1,r,1,781,1653278402
3119,202205231100,3191,3192,km,3273,19790,1,r,1,809,1653278402
3120,202205231100,3191,3205,km,3273,19792,1,r,1,809,1653278402
3120,202205231100,3191,3205,km,3273,19337,1,r,1,809,1653278402
3120,202205231100,3191,3205,km,3250,19506,1,r,1,571,1653278402
3119,202205231100,3187,3188,km,3481,21745,0,r,1,781,1653278402
3120,202205231100,3191,3205,km,3273,19807,1,r,1,809,1653278402
3118,202205231100,3191,3192,km,3273,19807,1,r,1,809,1653278402
3120,202205231100,3191,3205,km,3273,0,1,r,1,857,1653278403
3120,202205231100,3191,3205,km,3273,19817,1,r,1,809,1653278403
3120,202205231100,3191,3205,km,3273,19834,1,r,1,809,1653278403
3120,202205231100,3191,3205,km,3273,19337,1,r,1,857,1653278403
